Date,Close,Volume,Year,Month,Close_Lag1,Volume_Lag1,Close_Change,Volume_Change,Cluster
2008-05-14,14760,20052950,2008,5,14700.0,30044650.0,60.0,-9991700.0,0
2008-05-15,15280,27487700,2008,5,14760.0,20052950.0,520.0,7434750.0,1
2008-05-16,15200,30207500,2008,5,15280.0,27487700.0,-80.0,2719800.0,1
2008-05-19,14560,31627250,2008,5,15200.0,30207500.0,-640.0,1419750.0,1
2008-05-20,14260,45623100,2008,5,14560.0,31627250.0,-300.0,13995850.0,1
2008-05-21,14360,23699200,2008,5,14260.0,45623100.0,100.0,-21923900.0,0
2008-05-22,14260,18129850,2008,5,14360.0,23699200.0,-100.0,-5569350.0,0
2008-05-23,14140,14702850,2008,5,14260.0,18129850.0,-120.0,-3427000.0,0
2008-05-26,13580,42225400,2008,5,14140.0,14702850.0,-560.0,27522550.0,1
2008-05-27,14040,18241350,2008,5,13580.0,42225400.0,460.0,-23984050.0,0
2008-05-28,13840,20754200,2008,5,14040.0,18241350.0,-200.0,2512850.0,0
2008-05-29,14600,24855000,2008,5,13840.0,20754200.0,760.0,4100800.0,1
2008-05-30,14820,24669600,2008,5,14600.0,24855000.0,220.0,-185400.0,1
2008-06-02,14520,19869800,2008,6,14820.0,24669600.0,-300.0,-4799800.0,0
2008-06-03,14080,20968200,2008,6,14520.0,19869800.0,-440.0,1098400.0,0
2008-06-04,14260,14337000,2008,6,14080.0,20968200.0,180.0,-6631200.0,0
2008-06-05,14180,18126850,2008,6,14260.0,14337000.0,-80.0,3789850.0,0
2008-06-06,14180,0,2008,6,14180.0,18126850.0,0.0,-18126850.0,0
2008-06-09,13720,30999100,2008,6,14180.0,0.0,-460.0,30999100.0,1
2008-06-10,13320,28005300,2008,6,13720.0,30999100.0,-400.0,-2993800.0,1
2008-06-11,13620,23986150,2008,6,13320.0,28005300.0,300.0,-4019150.0,0
2008-06-12,13260,45085450,2008,6,13620.0,23986150.0,-360.0,21099300.0,1
2008-06-13,13480,26490150,2008,6,13260.0,45085450.0,220.0,-18595300.0,0
2008-06-16,13820,16767250,2008,6,13480.0,26490150.0,340.0,-9722900.0,0
2008-06-17,13760,18272550,2008,6,13820.0,16767250.0,-60.0,1505300.0,0
2008-06-18,14080,15103800,2008,6,13760.0,18272550.0,320.0,-3168750.0,0
2008-06-19,13500,25826000,2008,6,14080.0,15103800.0,-580.0,10722200.0,1
2008-06-20,13360,21409450,2008,6,13500.0,25826000.0,-140.0,-4416550.0,0
2008-06-23,13160,20438500,2008,6,13360.0,21409450.0,-200.0,-970950.0,0
2008-06-24,13180,15685550,2008,6,13160.0,20438500.0,20.0,-4752950.0,0
2008-06-25,13100,22329450,2008,6,13180.0,15685550.0,-80.0,6643900.0,1
2008-06-26,13300,19907250,2008,6,13100.0,22329450.0,200.0,-2422200.0,0
2008-06-27,12860,25576850,2008,6,13300.0,19907250.0,-440.0,5669600.0,1
2008-06-30,12500,28598600,2008,6,12860.0,25576850.0,-360.0,3021750.0,1
2008-07-01,12720,33602250,2008,7,12500.0,28598600.0,220.0,5003650.0,1
2008-07-02,12600,24414150,2008,7,12720.0,33602250.0,-120.0,-9188100.0,0
2008-07-03,12660,29315200,2008,7,12600.0,24414150.0,60.0,4901050.0,1
2008-07-04,12320,22481600,2008,7,12660.0,29315200.0,-340.0,-6833600.0,0
2008-07-07,12280,26142050,2008,7,12320.0,22481600.0,-40.0,3660450.0,1
2008-07-08,11860,27884250,2008,7,12280.0,26142050.0,-420.0,1742200.0,1
2008-07-09,11500,29763900,2008,7,11860.0,27884250.0,-360.0,1879650.0,1
2008-07-10,11200,53374150,2008,7,11500.0,29763900.0,-300.0,23610250.0,1
2008-07-11,11360,32717400,2008,7,11200.0,53374150.0,160.0,-20656750.0,0
2008-07-14,11340,20759300,2008,7,11360.0,32717400.0,-20.0,-11958100.0,0
2008-07-15,11060,27201450,2008,7,11340.0,20759300.0,-280.0,6442150.0,1
2008-07-16,11220,25858800,2008,7,11060.0,27201450.0,160.0,-1342650.0,1
2008-07-17,11680,32596450,2008,7,11220.0,25858800.0,460.0,6737650.0,1
2008-07-18,11640,15433200,2008,7,11680.0,32596450.0,-40.0,-17163250.0,0
2008-07-21,11980,25987750,2008,7,11640.0,15433200.0,340.0,10554550.0,1
2008-07-22,11800,19137950,2008,7,11980.0,25987750.0,-180.0,-6849800.0,0
2008-07-23,11740,28378200,2008,7,11800.0,19137950.0,-60.0,9240250.0,1
2008-07-24,12280,34992900,2008,7,11740.0,28378200.0,540.0,6614700.0,1
2008-07-25,11520,50458700,2008,7,12280.0,34992900.0,-760.0,15465800.0,1
2008-07-28,11200,43858300,2008,7,11520.0,50458700.0,-320.0,-6600400.0,1
2008-07-29,10880,29814350,2008,7,11200.0,43858300.0,-320.0,-14043950.0,0
2008-07-30,10960,26378350,2008,7,10880.0,29814350.0,80.0,-3436000.0,1
2008-07-31,11280,26311200,2008,7,10960.0,26378350.0,320.0,-67150.0,1
2008-08-01,11300,13485850,2008,8,11280.0,26311200.0,20.0,-12825350.0,0
2008-08-04,11300,17095750,2008,8,11300.0,13485850.0,0.0,3609900.0,0
2008-08-05,11340,24563900,2008,8,11300.0,17095750.0,40.0,7468150.0,1
2008-08-06,11740,21367600,2008,8,11340.0,24563900.0,400.0,-3196300.0,0
2008-08-07,11560,23440450,2008,8,11740.0,21367600.0,-180.0,2072850.0,1
2008-08-08,11460,24528350,2008,8,11560.0,23440450.0,-100.0,1087900.0,1
2008-08-11,11700,21889000,2008,8,11460.0,24528350.0,240.0,-2639350.0,0
2008-08-12,11900,31373400,2008,8,11700.0,21889000.0,200.0,9484400.0,1
2008-08-13,11740,19446100,2008,8,11900.0,31373400.0,-160.0,-11927300.0,0
2008-08-14,11600,19704750,2008,8,11740.0,19446100.0,-140.0,258650.0,0
2008-08-15,11600,0,2008,8,11600.0,19704750.0,0.0,-19704750.0,0
2008-08-18,11580,16509050,2008,8,11600.0,0.0,-20.0,16509050.0,1
2008-08-19,11280,17867300,2008,8,11580.0,16509050.0,-300.0,1358250.0,0
2008-08-20,11200,22011050,2008,8,11280.0,17867300.0,-80.0,4143750.0,1
2008-08-21,11060,17574550,2008,8,11200.0,22011050.0,-140.0,-4436500.0,0
2008-08-22,11140,15836500,2008,8,11060.0,17574550.0,80.0,-1738050.0,0
2008-08-25,11200,14548350,2008,8,11140.0,15836500.0,60.0,-1288150.0,0
2008-08-26,10800,32670800,2008,8,11200.0,14548350.0,-400.0,18122450.0,1
2008-08-27,10600,34357750,2008,8,10800.0,32670800.0,-200.0,1686950.0,1
2008-08-28,10420,27281050,2008,8,10600.0,34357750.0,-180.0,-7076700.0,0
2008-08-29,10320,36455950,2008,8,10420.0,27281050.0,-100.0,9174900.0,1
2008-09-01,10120,35791900,2008,9,10320.0,36455950.0,-200.0,-664050.0,1
2008-09-02,10340,34402450,2008,9,10120.0,35791900.0,220.0,-1389450.0,1
2008-09-03,10540,25714350,2008,9,10340.0,34402450.0,200.0,-8688100.0,0
